# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-17 15:21:58	Duration	
T0000245_ch1	5	0	0	0	2012-09-17 15:35:30	0.6	
T0000246_ch1	9	3	0	0	2012-09-17 15:35:35	1.6	
T0000247_ch1	4	0	0	0	2012-09-17 15:35:39	0.6	
T0000248_ch1	3	2	0	0	2012-09-17 15:35:41	1.0	
T0000249_ch1	3	2	0	0	2012-09-17 15:35:43	0.9	
T0000250_ch1	0	2	0	1	2012-09-17 15:35:45	0.6	
T0000251_ch1	2	1	0	0	2012-09-17 15:35:46	0.6	
T0000252_ch1	3	3	0	0	2012-09-17 15:35:49	1.5	
T0000253_ch1	9	0	0	0	2012-09-17 15:35:56	0.6	
T0000254_ch1	1	0	0	0	2012-09-17 15:35:58	0.6	
T0000255_ch1	3	0	2	0	2012-09-17 15:36:01	0.6	
T0000256_ch1	2	2	0	3	2012-09-17 15:36:02	0.6	
T0000257_ch1	2	2	0	0	2012-09-17 15:36:03	0.6	
T0000258_ch1	4	1	0	0	2012-09-17 15:36:05	0.8	
T0000259_ch1	4	0	0	0	2012-09-17 15:36:07	0.6	
T0000260_ch1	2	0	1	0	2012-09-17 15:36:12	0.6	
T0000261_ch1	2	1	0	0	2012-09-17 15:36:13	0.7	
T0000262_ch1	3	1	0	0	2012-09-17 15:36:14	0.8	
T0000263_ch1	1	2	1	0	2012-09-17 15:36:24	0.6	
T0000264_ch1	5	2	0	0	2012-09-17 15:36:25	0.6	
T0000265_ch1	9	0	0	1	2012-09-17 15:36:26	1.2	
T0000266_ch1	6	1	0	0	2012-09-17 15:36:28	0.9	
T0000267_ch1	1	0	0	0	2012-09-17 15:36:32	0.6	
T0000268_ch1	5	1	0	2	2012-09-17 15:36:34	1.1	
T0000269_ch1	0	0	0	2	2012-09-17 15:36:36	1.6	
T0000270_ch1	7	1	0	0	2012-09-17 15:36:37	1.1	
T0000271_ch1	6	2	0	0	2012-09-17 15:36:39	0.8	
T0000272_ch1	5	0	0	3	2012-09-17 15:36:40	1.8	
T0000273_ch1	4	2	1	1	2012-09-17 15:36:43	1.0	
T0000274_ch1	1	0	0	0	2012-09-17 15:36:47	0.6	
T0000275_ch1	4	1	0	0	2012-09-17 15:36:54	0.6	
T0000276_ch1	1	3	0	4	2012-09-17 15:37:04	1.2	
T0000277_ch1	0	0	0	1	2012-09-17 15:37:12	0.7	
T0000278_ch1	1	1	0	3	2012-09-17 15:37:15	1.5	
T0000279_ch1	0	2	1	0	2012-09-17 15:37:18	0.9	
T0000280_ch1	1	2	0	3	2012-09-17 15:37:21	1.1	
T0000281_ch1	0	5	0	2	2012-09-17 15:37:23	1.0	
T0000282_ch1	1	0	0	1	2012-09-17 15:37:24	0.7	
T0000283_ch1	4	0	0	0	2012-09-17 15:37:38	0.6	
T0000284_ch1	2	0	0	0	2012-09-17 15:37:41	0.6	
T0000285_ch1	8	1	0	0	2012-09-17 15:37:44	0.6	
T0000286_ch1	2	3	0	1	2012-09-17 15:37:51	1.0	
T0000287_ch1	5	0	1	0	2012-09-17 15:37:57	0.6	
T0000288_ch1	3	0	0	0	2012-09-17 15:37:58	0.6	
T0000289_ch1	1	0	0	0	2012-09-17 15:38:01	0.6	
T0000290_ch1	3	0	0	0	2012-09-17 15:38:03	0.6	
T0000291_ch1	5	1	0	0	2012-09-17 15:38:04	0.6	
T0000292_ch1	2	1	0	5	2012-09-17 15:38:06	1.6	
T0000293_ch1	4	1	0	0	2012-09-17 15:38:08	0.9	
T0000294_ch1	3	2	0	0	2012-09-17 15:38:10	0.7	
T0000295_ch1	6	2	0	0	2012-09-17 15:38:15	0.6	
T0000296_ch1	2	2	0	5	2012-09-17 15:38:16	1.8	
T0000297_ch1	1	2	0	4	2012-09-17 15:38:21	1.3	
T0000298_ch1	0	1	0	2	2012-09-17 15:38:28	1.0	
T0000299_ch1	3	1	0	0	2012-09-17 15:38:29	0.7	
T0000300_ch1	2	4	1	3	2012-09-17 15:38:30	1.9	
T0000301_ch1	5	2	2	2	2012-09-17 15:38:32	2.0	
T0000302_ch1	3	2	0	2	2012-09-17 15:38:34	1.0	
T0000303_ch1	0	3	2	3	2012-09-17 15:38:36	2.0	
T0000304_ch1	11	3	0	1	2012-09-17 15:38:39	2.3	
T0000305_ch1	7	5	1	3	2012-09-17 15:38:41	2.9	
T0000306_ch1	2	7	3	1	2012-09-17 15:38:44	1.7	
T0000307_ch1	11	2	0	6	2012-09-17 15:38:46	3.8	
T0000308_ch1	5	2	0	0	2012-09-17 15:38:50	1.3	
T0000309_ch1	3	5	0	3	2012-09-17 15:38:51	1.7	
T0000310_ch1	4	3	0	2	2012-09-17 15:38:54	1.4	
